Grade;Area;Topic;Code;Description
 9-12;Proficient Course Media Arts Standards ;Apply criteria to evaluate artistic work;P.MA.R.09;b. Execute a variety of technical elements (e.g., scenic, lighting, props, costume, sound, and makeup) to create a design through rehearsal for a theatrical work.
 9-12;Proficient Course Media Arts Standards ;Synthesize and relate knowledge and personal experiences to make art;P.MA.Co.10;Match a theatre performance with expressed intent (e.g., wanting the audience to think about fairness). 
 9-12;Proficient Course Media Arts Standards ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;P.MA.Co.11;Analyze elements of a work that are indicative of the historical or cultural context in which it was created. 
 9-12;Advanced Course Media Arts Standards ;Generate and conceptualize artistic ideas and work;A.MA.Cr.01;Explain how an artistic work was influenced by the culture and historical context in which it was created.  
 9-12;Advanced Course Media Arts Standards ;Organize and develop artistic ideas and work;A.MA.Cr.02;Develop criteria for evaluating a theatrical presentation (e.g., students create criteria for a performance juried by students).  
 9-12;Advanced Course Media Arts Standards ;Refine and complete artistic work;A.MA.Cr.03; Describe and demonstrate influences of their personal artistic style and preferences in theatre. 
 9-12;Advanced Course Media Arts Standards ;Select, analyze and interpret artistic work for presentation;A.MA.P.04;Identify multiple cross-cultural approaches to storytelling connected to different historical populations (e.g., ancient Greek city-states). 
 9-12;Advanced Course Media Arts Standards ;Develop and refine artistic techniques and work for presentation;A.MA.P.05;Generate artistic ideas that demonstrate differences in composition principles (e.g., balance, proportion, emphasis) and push the boundaries of what materials can do. 
 9-12;Advanced Course Media Arts Standards ;Convey meaning through the presentation of artistic work;A.MA.P.06;Develop clear artistic plans that others could implement. 
 9-12;Advanced Course Media Arts Standards ;Perceive and analyze artistic work;A.MA.R.07;Apply strategies to work through creative blocks. 
 9-12;Advanced Course Media Arts Standards ;Interpret intent and meaning in artistic work;A.MA.R.08;Curate a theme-based exhibition. 
 9-12;Advanced Course Media Arts Standards ;Apply criteria to evaluate artistic work;A.MA.R.09;Utilize different approaches to share artwork (e.g., digital portfolio, exhibit installation). 
 9-12;Advanced Course Media Arts Standards ;Synthesize and relate knowledge and personal experiences to make art;A.MA.Co.10;Match a piece of artwork with expressed intent (e.g., wanting the audience to feel tension between two positions).
 9-12;Advanced Course Media Arts Standards ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;A.MA.Co.11;Analyze elements of a work that are indicative of the historical or cultural context in which it was created.
 9-12;Novice Solo and Ensemble Standards ;Generate and conceptualize artistic ideas and work;N.M.Cr.01;Explain how an artistic work was influenced by the culture or historical context in which it was created. 
 9-12;Novice Solo and Ensemble Standards ;Organize and develop artistic ideas and work;N.M.Cr.02; Develop criteria for evaluating a collection of artworks (e.g., students determine criteria for an exhibition juried by students). 
 9-12;Novice Solo and Ensemble Standards ;Refine and complete artistic work;N.M.Cr.03;Describe and demonstrate influences of personal artistic style and preferences in visual arts. 
 9-12;Novice Solo and Ensemble Standards ;Select, analyze and interpret artistic work for presentation;N.M.P.04; Identify visual ideas from a variety of cultures connected to different historical populations.
 9-12;Novice Solo and Ensemble Standards ;Develop and refine artistic techniques and work for presentation;N.M.P.05; Create dance that reflects characteristics of different artistic movements (e.g., Cubism, Romanticism, and Avant-garde).
 9-12;Novice Solo and Ensemble Standards ;Convey meaning through the presentation of artistic work;N.M.P.06;Use one type of dance notation to document an original dance.
 9-12;Novice Solo and Ensemble Standards ;Perceive and analyze artistic work;N.M.R.07; Use costumes and props to refine a dance to better express, evoke, or communicate with an audience. 
 9-12;Novice Solo and Ensemble Standards ;Interpret intent and meaning in artistic work;N.M.R.08; Identify historical sources that explain movement conventions.
 9-12;Novice Solo and Ensemble Standards ;Apply criteria to evaluate artistic work;N.M.R.09;Assess personal strengths and weaknesses in improvisation, strength, flexibility, endurance, balance, and coordination and implement plans to improve. 
 9-12;Novice Solo and Ensemble Standards ;Synthesize and relate knowledge and personal experiences to make art;N.M.Co.10;Describe how decisions about a performance are connected to what the student wants to express, evoke, or communicate. 
 9-12;Novice Solo and Ensemble Standards ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;N.M.Co.11;Analyze the style of a choreographer and how that style manifests in a given movement work. 
 9-12;Foundations Solo and Ensemble Standards ;Generate and conceptualize artistic ideas and work;F.M.Cr.01; Identify elements from a dance work that connect it to a specific genre or style. 
 9-12;Foundations Solo and Ensemble Standards ;Organize and develop artistic ideas and work;F.M.Cr.02;Compare and contrast different rubrics or criteria for evaluating dance work. 
 9-12;Foundations Solo and Ensemble Standards ;Refine and complete artistic work;F.M.Cr.03;Describe what has influenced changes in one?s artistic style and preferences in dance. 
 9-12;Foundations Solo and Ensemble Standards ;Select, analyze and interpret artistic work for presentation;F.M.P.04; Identify the connections between historical and cultural context and defining stylistic elements of dance movements.
 9-12;Foundations Solo and Ensemble Standards ;Develop and refine artistic techniques and work for presentation;F.M.P.05;Consistently apply research to support development of artistic ideas (e.g., research different styles of Chinese fans to support designing a prop). 
 9-12;Foundations Solo and Ensemble Standards ;Convey meaning through the presentation of artistic work;F.M.P.06;Identify different strategies dancers use to generate and organize their movement ideas. 
 9-12;Foundations Solo and Ensemble Standards ;Perceive and analyze artistic work;F.M.R.07;Use historical and cultural context to refine personal movement choices.
 9-12;Foundations Solo and Ensemble Standards ;Interpret intent and meaning in artistic work;F.M.R.08;Demonstrate how choreographers use specific techniques to evoke, express, or communicate in a movement work. 
 9-12;Foundations Solo and Ensemble Standards ;Apply criteria to evaluate artistic work;F.M.R.09;Contribute to the production of a movement work (e.g., run a section of a rehearsal). 
 9-12;Foundations Solo and Ensemble Standards ;Synthesize and relate knowledge and personal experiences to make art;F.M.Co.10;Modify a dance performance to clarify its artistic intent by anticipating viewers? responses. 
 9-12;Foundations Solo and Ensemble Standards ;Relate artistic ideas and works to societal, cultural and historical contexts to deepen understanding;F.M.Co.11;Compare and contrast different movement works in use of theme, space, timing and rhythms, gestures and body language, properties (props), or costumes.
 9-12;Proficient Solo and Ensemble Standards ;Generate and conceptualize artistic ideas and work;P.M.Cr.01;Compare and contrast the artistic elements that make contemporary dance unique.
 9-12;Proficient Solo and Ensemble Standards ;Organize and develop artistic ideas and work;P.M.Cr.02;Choose and defend different criteria for evaluating dance work. 
 9-12;Proficient Solo and Ensemble Standards ;Refine and complete artistic work;P.M.Cr.03;Describe how dance influences their approach to other academic disciplines. 
