Grade;Area;Topic;Code;Description
09-dic;Computing and Society;Interpersonal and Societal Impact;9-12.CAS.c.5;Analyze the beneficial and harmful effects of computing innovations (e.g., social networking, delivery of news and other public media, intercultural communication).
09-dic;Computing and Society;Interpersonal and Societal Impact;9-12.CAS.c.6;Cultivate a positive web presence (e.g., digital resume, portfolio, social media).
09-dic;Computing and Society;Interpersonal and Societal Impact;9-12.CAS.c.7;Identify ways to use technology to support lifelong learning.
09-dic;Computing and Society;Interpersonal and Societal Impact;9-12.CAS.c.8;Analyze the impact of values and points of view that are presented in media messages (e.g., racial, gender, political).
09-dic;Computing and Society;Interpersonal and Societal Impact;9-12.CAS.c.9;Discuss the social and economic implications associated with malicious hacking, software piracy, and cyber terrorism.
09-dic;Digital Tools and Collaboration;Digital Tools;9-12.DTC.a.1;Use digital tools to design and develop a significant digital artifact (e.g., multipage website, online portfolio, simulation).
09-dic;Digital Tools and Collaboration;Digital Tools;9-12.DTC.a.2;Select digital tools or resources based on their efficiency and effectiveness to use for a project or assignment, and justify the selection.
09-dic;Digital Tools and Collaboration;Collaboration and Communication;9-12.DTC.b.1;Communicate and publish key ideas and details to a variety of audiences using digital tools and media-rich resources.
09-dic;Digital Tools and Collaboration;Collaboration and Communication;9-12.DTC.b.2;Collaborate on a substantial project with outside experts or others through online digital tools (e.g., science fair project, community service project, capstone project).
09-dic;Digital Tools and Collaboration;Research;9-12.DTC.c.1;Generate, evaluate, and prioritize questions that can be researched through digital resources or tools.
09-dic;Digital Tools and Collaboration;Research;9-12.DTC.c.2;Perform advanced searches to locate information and/or design a data-collection approach to gather original data (e.g., qualitative interviews, surveys, prototypes, simulations).
09-dic;Digital Tools and Collaboration;Research;9-12.DTC.c.3;Evaluate digital sources needed to solve a given problem (e.g., reliability, point of view, relevancy).
09-dic;Digital Tools and Collaboration;Research;9-12.DTC.c.4;Gather, organize, analyze, and synthesize information using a variety of digital tools.
09-dic;Digital Tools and Collaboration;Research;9-12.DTC.c.5;Create an artifact that answers a research question, communicates results and conclusions, and cites sources.
09-dic;Computing Systems;Computing Devices;9-12.CS.a.1;Select computing devices (e.g., probe, sensor, tablet) to accomplish a real-world task (e.g., collecting data in a field experiment) and justify the selection.
09-dic;Computing Systems;Computing Devices;9-12.CS.a.2;Examine how the components of computing devices are controlled by and react to programmed commands.
09-dic;Computing Systems;Computing Devices;9-12.CS.a.3;Apply strategies for identifying and solving routine hardware and software problems that occur in everyday life (e.g., update software patches, virus scan, empty trash, run utility software, close all programs, reboot, use help sources).
09-dic;Computing Systems;Computing Devices;9-12.CS.a.4;Explain and demonstrate how specialized computing devices can be used for problem solving, decision-making and creativity in all subject areas.
